collection_name,asset_url,asset_img_url,event_contract_address,event_quantity,event_total_price
HelpVetNFT V2,https://testnets.opensea.io/assets/rinkeby/0xe280b6b2142986f5990540dfb65196d7d037d4cf/1,https://lh3.googleusercontent.com/o9r3cMZDtNpZwRB2bpqPBusGVe14P5pHiNVa7l_rkfx_bRtPuWJlpCW0-o2NzsQIznY3UOMbadK258Ba48R9rSbypY8Wjg1K67Hv7w,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.1
Azuki God,https://testnets.opensea.io/assets/rinkeby/0xb74bf94049d2c01f8805b8b15db0909168cabf46/683,https://lh3.googleusercontent.com/tbPrO0VYPfz4y1ilOe62EgcYN8fTh8kH-0zAISwkGV93GkOPA_Vwo9jLmxd_SWuNbFMc1F8GUAmdTzRUdAPTau5gbgajVGvDbJbiZg,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,7.0
Azuki God,https://testnets.opensea.io/assets/rinkeby/0xb74bf94049d2c01f8805b8b15db0909168cabf46/345,https://lh3.googleusercontent.com/D6BwTLpbNCZRxY26wHAykOJeTyPVScQlwtlPkpKoITewomYewdKT3oSftfNU-iMMA617p0G3faM1I2lprP8f0C72Y7fZ2Lwa-QZU-A,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,1.0
Test NFT - KniBuIoY7Y,https://testnets.opensea.io/assets/rinkeby/0x7a8b6ff6a2b2331582f95481f0e7f2667087e3e5/354,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.002
Ikuza - cDU4uH4USJ,https://testnets.opensea.io/assets/rinkeby/0xc2f14fd900c29248f98d227ac124be791bec0563/4,https://lh3.googleusercontent.com/ZhqSj1-TbmXiS5CSVy25LTtzzY68i1TjGpKTPTXJ4Dds4SjEJJ4D-QpyMY8GdX87LI-MTpjWgRW4gXAHyqVv8PVf43dLcHUBu5anrg,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/92259444253729866311442988922673292619111606753961169234610885299732403961519,,,1,0.16016794509879387
My NfStreets,https://testnets.opensea.io/assets/rinkeby/0x41613e0e7bb5602f9133d6022f82e78f43b43584/99,https://lh3.googleusercontent.com/saA5mKunjInWX3W0CXorRhwhufw4f5un14rdx0etDvVkEbuhm87_oNub-V5OmZrSXk6cKe9vkj5s1dcaHXurC1lcvrElNNzTm3HGjA,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.005
Mes yeux pourpre,https://testnets.opensea.io/assets/rinkeby/0xd8d555e2ec642bb8769a9ab479f456b411627f78/5,https://lh3.googleusercontent.com/_3x15kyx9IUkrjn0uO7PrVptdI9IEj3YCM5HgPP0EvfhrMmzlMuBqHUsW0PPW3ernW06J8NZt3ONE0xdYxmwm22yeaWvESkvVWEUgw,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.001
Azuki God,https://testnets.opensea.io/assets/rinkeby/0xb74bf94049d2c01f8805b8b15db0909168cabf46/396,https://lh3.googleusercontent.com/J-JmAUacEOaFv-D6cBRd3jZa_1ncBehLe5rYvZgp2-FhCAWPtYnhzMd3z-pyTdPX_V3JRenDNR4OUXiATki8eGk5-snj7BQJ7DzFsQ,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,1.0
Blue Peels NFT,https://testnets.opensea.io/assets/rinkeby/0x7b6ec73f1deca0aabc853653104673b96f1ecae2/1,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.003
